label,category
suicide method,Other
program (Class Pages),Languages and other symbolic systems
time,Other
linguistic unit (Class Pages),Languages and other symbolic systems
anatomical structure,Science
biblical concept,Religion
fermented food (Class Pages),Food
Human_penis_size,Science
rhetorical device,Languages and other symbolic systems
speech,Languages and other symbolic systems
World_Rugby_Rankings,Sport
food manufacturer,Business & Products
reinforcement,Other
gender system (Class Pages),Science
Kahoot!,Other
comics,Art
scientific theory,Science
academic degree,Science
boundary,Places
headgear,Other
Nvidia,Business & Products
captive mammal,Animals
international sport governing body,Sport
statistical model (Class Pages),Science
descriptive statistic,Science
COVID-19_pandemic_in_Australia_statistics,Other
BHP,Business & Products
type of dance,Art
partially ordered set,Science
zodiac,Other
unpublished work,Art
chemical entity (Class Pages),Science
charter,Other
classification scheme,Other
popular literature,Art
product category,Business & Products
reference range,Other
artistic technique,Art
type of world view,Religion
musical concept,Art
clothing (Class Pages),Other
human organ,Other
duality,Other
Global_Liveability_Ranking,Other
Communism,Politics
pentad,Other
electrical element (Class Pages),Technology
BYD_Auto,Business & Products
fungi,Science
List_of_states_with_nuclear_weapons,Meta
Maslow's_hierarchy_of_needs,Science
Microsoft,Business & Products
natural disaster (Class Pages),Science
identifying artifact,Other
anatomical structure (Class Pages),Science
information and communications technology,Technology
language,Languages and other symbolic systems
network resource (Class Pages),Technology
hypothesis,Other
political slogan,Politics
school of thought,Other
form of art,Other
group of paintings,Art
by country,Politics
cultural depiction,Other
theorem,Science
algorithm,Science
anatomical structure type,Science
zoo,Places
clothing,Other
food product,Food
Felidae,Animals
toy,Business & Products
register,Other
productive animal,Animals
print media,Entertainment
line,Other
politician,People
cuisine,Food
financial asset (Class Pages),Finance & Economics
fictional entity (Class Pages),Fiction
heterotroph (Class Pages),Other
coin type,Finance & Economics
rock (Class Pages),Science
snack (Class Pages),Food
manuscript,Other
labor union,Organisations
sports equipment (Class Pages),Sport
radio station,Entertainment
disease (Class Pages),Science
"version, edition or translation",Other
medical procedure (Class Pages),Science
natural physical object,Other
group of persons,People
organizational subdivision,Other
historical profession,Other
book,Art
linguistics,Languages and other symbolic systems
discography,Art
board game,Entertainment
sport in a geographic region,Sport
group of living things (Class Pages),Other
archetype,Other
perceptual distortion,Other
noun (Class Pages),Other
type of organization,Other
geography,Other
political alliance,Politics
government organization (Class Pages),Other
command (Class Pages),Other
aircraft type,Business & Products
physical system (Class Pages),Other
expansion pack,Entertainment
curve (Class Pages),Science
mode of transport,Other
thoroughfare (Class Pages),Other
textile (Class Pages),Other
dessert (Class Pages),Food
drink (Class Pages),Food
figure that may or may not be fictional (Class Pages),People
food (Class Pages),Food
food and beverage (Class Pages),Food
food ingredient (Class Pages),Food
geolocatable entity (Class Pages),Places
gestation (Class Pages),Science
material anatomical entity (Class Pages),Science
natural geographic object (Class Pages),Places
person (Class Pages),People
physical intimacy (Class Pages),Science
physical tool (Class Pages),Business & Products
polymorphism (Class Pages),Science
position (Class Pages),Sport
"products of manufacturing industries by OKPD and CPA 2002 (D), OKPD2 AND CPA 2008 (C) (Class Pages)",Food
region of space (Class Pages),Places
