Rank,Article title,Average daily views
1,2025 Western Australian state election,8453
2,Anora,8145
3,Cyclone Tracy,7167
4,Gene Hackman,6797
5,Cyclone Yasi,6748
6,Mikey Madison,6094
7,Severance (TV series),6007
8,Belle Gibson,5279
9,Cyclone Alfred (2025),5119
10,2025 Australian federal election,4930
