Category,Pages,Pages %,Views,Views %
People,112519,43.52%,2141621463,51.53%
Entertainment,51777,20.03%,908790304,21.86%
Other,36384,14.07%,358930921,8.64%
Events,27410,10.60%,370571636,8.92%
Places,19095,7.39%,181638286,4.37%
Meta,11370,4.40%,194905422,4.69%
Uncategorised,25499,9.86%,86417926,2.08%
Total Categorised,258555,100.00%,4156458032,100.00%
